ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount
19032	C2H4BrCl	143.41	1.6	N/A	N/A	0	10	N/A	0	0	1	4	N/A	N/A	N/A	N/A	N/A
21182	C23H30Cl5N3O	541.8	N/A	N/A	N/A	37.4	494	N/A	3	4	11	32	N/A	N/A	N/A	N/A	N/A
21183	C21H27Cl4N3O	479.3	N/A	N/A	N/A	37.4	442	N/A	3	4	9	29	N/A	N/A	N/A	N/A	N/A
28925	C5H11Cl2N	156.05	0.9	N/A	N/A	3.2	43	N/A	0	1	4	8	N/A	N/A	N/A	N/A	N/A
40910	N3-	42.021	1.5	N/A	N/A	3	15	N/A	0	2	0	3	N/A	N/A	N/A	N/A	N/A
23872	C12H25O4S-	265.39	4.7	N/A	N/A	74.8	230	N/A	0	4	11	17	N/A	N/A	N/A	N/A	N/A
27563	As	74.92159	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
27560	B	10.81	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
27007	Sn	118.71	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
28073	Cr	51.996	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
27638	Co	58.93319	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
28685	Mo	95.95	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
27998	W	183.84	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
27698	V	50.9415	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
27363	Zn	65.4	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
24061	FH	20.0064	0.6	N/A	N/A	0	0	N/A	1	1	0	1	N/A	N/A	N/A	N/A	N/A
28741	FNa	41.9881724	N/A	N/A	N/A	0	2	N/A	0	1	0	2	N/A	N/A	N/A	N/A	N/A
27568	Se	78.97	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
24640	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
22634	C4H6As2O4	267.93	N/A	N/A	N/A	74.6	147	N/A	2	4	4	10	N/A	N/A	N/A	N/A	N/A
32918	C12H10O2	186.21	2.7	N/A	N/A	37.3	212	N/A	1	2	2	14	N/A	N/A	N/A	N/A	N/A
28775	C28H34O15	610.6	-1.1	N/A	N/A	234	940	N/A	8	15	7	43	N/A	N/A	N/A	N/A	N/A
22899	C17H14O7	330.29	1.7	N/A	N/A	99.1	662	N/A	1	7	3	24	N/A	N/A	N/A	N/A	N/A
20140	C10H9N	143.18	2.5	N/A	N/A	12.9	133	N/A	0	1	0	11	N/A	N/A	N/A	N/A	N/A
17590	C8H18	114.23	3.9	N/A	N/A	0	25	N/A	0	0	5	8	N/A	N/A	N/A	N/A	N/A
25187	C10H20O	156.26	3	N/A	N/A	20.2	120	N/A	1	1	1	11	N/A	N/A	N/A	N/A	N/A
28937	C15H20O4	264.32	1.6	N/A	N/A	74.6	494	N/A	2	4	3	19	N/A	N/A	N/A	N/A	N/A
17660	C10H13N5	203.24	2.1	N/A	N/A	66.5	236	N/A	2	4	3	15	N/A	N/A	N/A	N/A	N/A
27666	C62H86N12O16	1255.4	3.8	N/A	N/A	356	3030	N/A	5	18	8	90	N/A	N/A	N/A	N/A	N/A
28890	C11H22NO7PS	343.34	-0.3	N/A	N/A	134	387	N/A	5	8	11	21	N/A	N/A	N/A	N/A	N/A
16848	C29H36N5O18P	773.6	-5.1	N/A	N/A	365	1720	N/A	11	19	20	53	N/A	N/A	N/A	N/A	N/A
26831	C2H6N4O4S	182.16	-2.5	N/A	N/A	153	240	N/A	4	4	2	11	N/A	N/A	N/A	N/A	N/A
